"","identify","oricode","agenst","agenam1","rathom1","rathom2","rathom3","rathom4","rathom5","rathom6","rathom7","rathom8","rathom9","rathom10","rathom11","rathom12","rathom13","rathom14","rathom15","rathom16","rathom17","rathom18","rathom19","rathom20","rathom21","rathom22","rathom23","rathom24","rathom25","rathom26","rathom27","rathom28","rathom29","rathom30","rathom31","rathom32","rathom33","rathom34","rathom35","rathom36","rathom37","rathom38","agenam33","meanclea","group","time1","time2","time3","time4","time5","time6","time7","time8","time9","time10","time11","time12","time13","time14","time15","time16","time17","time18","time19","time20","time21","time22","time23","time24","time25","time26","time27","time28","time29","time30","time31","time32","time33","time34","time35","time36","time37","time38","rm1","rm2","rm3","rm4","rm5","rm6","rm7","rm8","rm9","rm10","rm11","rm12","rm13","rm14","rm15","rm16","rm17","rm18","rm19","rm20","rm21","rm22","rm23","rm24","rm25","rm26","rm27","rm28","rm29","rm30","rm31","rm32","rm33","rm34","rm35","rm36","rm37","rm38","totrm","_traj_Group","_traj_ProbG1","_traj_ProbG2","_traj_ProbG3","_traj_ProbG4","column1","var129"
"1","1","0","0","0",0.200000002980232,0.846153855323792,0.822222232818604,0.957746505737305,0.968085110187531,0.848214268684387,0.911111116409302,0.782178223133087,0.918918907642365,0.903225839138031,0.761363625526428,0.824742257595062,0.890109896659851,0.785714268684387,0.766666650772095,0.876288652420044,0.818181812763214,0.702380955219269,0.77173912525177,0.699999988079071,0.695999979972839,0.755395650863647,0.646616518497467,0,0,0,0,0,0,0,0,0,0,0,0,0,0.621951222419739,0,"0",0.494079113006592,"3",0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,14,NA,NA,NA,NA,NA,"1","AL00102"
"2","2","0","0","0",0.850000023841858,0.884615361690521,0.899999976158142,0.918367326259613,0.910714268684387,0.959183692932129,1.08000004291534,0.850746273994446,1.12962961196899,0.903846144676208,1.01851856708527,0.846153855323792,0.729166686534882,0.72972971200943,0.783783793449402,0.615384638309479,0.744680821895599,0.65625,0.676470577716827,1.14999997615814,0,1.02499997615814,0.828571438789368,0,0,0,0,0,0,0,0,0,0,0,0.647058844566345,0.921052634716034,0.809523820877075,0.75,"0",0.587327599525452,"3",0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,12,NA,NA,NA,NA,NA,"2","AL00201"
"3","3","0","0","0",0.903225839138031,0.976744174957275,0.794117629528046,0.891891896724701,1,0.872727274894714,0.800000011920929,0.846153855323792,0.885714292526245,0.918918907642365,0.973684191703796,0.800000011920929,0.863636374473572,0.916666686534882,0.833333313465118,0.954545438289642,0.952380955219269,0.52173912525177,0.439999997615814,0.852941155433655,0,0.611111104488373,0.71875,0,0,0,0,0.620000004768372,0.800000011920929,1,0,0,0.629999995231628,0.75862067937851,0.703703701496124,0.717391312122345,0.91304349899292,0.838709652423859,"0",0.66604608297348,"3",0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,7,1,0.996237993240356,0.0019227338489145,0.00183926231693476,7.30090033568276e-13,"3","AL00301"
"4","4","0","0","0",0.818181812763214,1,0.705882370471954,1,0.916666686534882,1,0.375,0.666666686534882,0.8125,0.5625,0.533333301544189,0.75,0.47826087474823,0.75,0.875,0.714285731315613,0.470588237047195,0.466666668653488,0.692307710647583,1.09090912342072,0.699999988079071,0.360000014305115,0.529411733150482,0.519999980926514,0.681818187236786,0.612903237342834,0.653846144676208,0.569999992847443,0.545000016689301,0.523000001907349,0.899999976158142,0.909090936183929,1.04999995231628,0.625,0.705882370471954,0.772727251052856,0.699999988079071,0.857142865657806,"0",0.707751870155334,"2",0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.668354272842407,9.94645142782247e-06,0.331624239683151,1.15390485007083e-05,"4","AK00101"
"5","5","0","0","0",1,0,1,1,1,0.699999988079071,0.875,0.699999988079071,0.75,1,1,0.75,0.625,0.857142865657806,1,0.800000011920929,0.714285731315613,0.692307710647583,0.583333313465118,0.833333313465118,0.800000011920929,1,0.833333313465118,0.631578922271729,1,0.888888895511627,0.636363625526428,0.910000026226044,0.916000008583069,0.759999990463257,0.75,0.400000005960464,0.360000014305115,0.789473652839661,0.476190477609634,0.666666686534882,0.705882370471954,0.722222208976746,"0",0.766500055789948,"1",0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7.46975774745806e-06,7.64183027968102e-08,0.996189177036285,0.00380330486223102,"5","AZ00713"
"6","6","0","0","0",1,1,1,1,0.909090936183929,1,1,0.928571403026581,0.75,1,0.899999976158142,1,0.333333343267441,0.699999988079071,0.833333313465118,1,0.909090936183929,0.555555582046509,0.727272748947144,0.699999988079071,1,1.05882358551025,0.777777791023254,0.75,0.588235318660736,0.789473652839661,0.736842095851898,0.810000002384186,0.833329975605011,0.600000023841858,0.611111104488373,0.419999986886978,0.25,0.517241358757019,0.576923072338104,0.818181812763214,1.25,0.857142865657806,"0",0.802403450012207,"1",0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.000157371687237173,5.87944137819818e-10,0.994299352169037,0.00554324686527252,"6","AZ00717"
"7","7","0","0","0",0.905982911586761,0.860000014305115,0.763513505458832,0.913385808467865,0.587912082672119,0.916666686534882,0.772357702255249,0.740963876247406,0.727272748947144,0.68478262424469,0.669902920722961,0.666666686534882,0.53125,0.88095235824585,0.682692289352417,0.652173936367035,0.695999979972839,0.640350878238678,0.842592597007751,0.69767439365387,0.762962937355042,0.778571426868439,0.654929578304291,0.724550902843475,0.593220353126526,0.536036014556885,0.575916230678558,0.388999998569489,0.404255300760269,0.484018266201019,0.439999997615814,0.452830195426941,0.47299998998642,0.409090906381607,0.395744681358337,0.771698117256165,0.508982062339783,0.631147563457489,"0",0.653132855892181,"2",0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.228931769728661,0.386845290660858,0.38422292470932,2.0386989874055e-09,"7","AZ00723"
"8","8","0","0","0",0.75,1,1,0.125,0.375,0,0.444444447755814,0.5,0.5,0,1,1,1,0.75,0.666666686534882,0.875,1,1,0.625,0.666666686534882,NA,0.625,1,0.5,0.5,0.833333313465118,0.875,1,0.5,0.870000004768372,0.875,0.990000009536743,2,1,1,1,1.39999997615814,0.899999976158142,"0",0.787732720375061,"2",0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5.25011364516104e-06,1.41501554871688e-14,0.00115428434219211,0.99884045124054,"8","AZ00725"
"9","9","0","0","0",0.923076927661896,0.806451618671417,0.82051283121109,0.727272748947144,0.673469364643097,0.75,0.891891896724701,0.793103456497192,0.807692289352417,1,0.666666686534882,0.785714268684387,0.709677398204803,0.666666686534882,0.730769217014313,0.71875,0.585365831851959,1.08695650100708,0.806451618671417,0.756097555160522,0.757575750350952,0.692307710647583,0.761904776096344,0.863636374473572,0.702702701091766,0.545454561710358,0.553191483020782,0.730000019073486,0.680000007152557,0.842105269432068,0.590163946151733,0.590909063816071,0.693000018596649,0.545454561710358,0.686274528503418,0.714285731315613,0.584615409374237,0.628571450710297,"0",0.733387887477875,"2",0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.000855441146995872,5.77905302634463e-06,0.999055564403534,8.31990910228342e-05,"9","AZ01003"
"10","10","0","0","0",1,0.692307710647583,0.969696998596191,1,0.884615361690521,0.777777791023254,0.899999976158142,0.833333313465118,0.666666686534882,0.571428596973419,0.684210538864136,0.842105269432068,0.545454561710358,0.545454561710358,0.785714268684387,0.75,0.818181812763214,0.571428596973419,0.684210538864136,0.481481492519379,0.699999988079071,0.319999992847443,0.257142871618271,0.727272748947144,0.5,0.720000028610229,0.571428596973419,0.879999995231628,0.560000002384186,0.730000019073486,0.75,0.75,0.550000011920929,0.699999988079071,0.400000005960464,0.705882370471954,1,1.55555558204651,"0",0.720561861991882,"2",0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.948404252529144,1.81745491545371e-07,0.0515922009944916,3.38045015269017e-06,"10","CA03001"
"11","11","0","0","0",0.923076927661896,1.09090912342072,0.428571432828903,1.08333337306976,0.916666686534882,0.89473682641983,0.764705896377563,0.928571403026581,0.639999985694885,0.826086938381195,0.809523820877075,0.86956524848938,0.888888895511627,0.818181812763214,0.454545438289642,0.764705896377563,0.909090936183929,0.600000023841858,0.95652174949646,0.857142865657806,0.759999990463257,0.649999976158142,0.75,0.571428596973419,0.722222208976746,0.827586233615875,0.600000023841858,0.449999988079071,0.649999976158142,0.625,0.839999973773956,0.636363625526428,0.772700011730194,0.4375,0.708333313465118,0.466666668653488,0.680000007152557,0.518518507480621,"0",0.739240646362305,"2",0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.000742416479624808,5.64633955946192e-06,0.999227106571198,2.48163032665616e-05,"11","CA01502"
"12","12","0","0","0",1,0.800000011920929,1,1,1,0.777777791023254,0.875,0.583333313465118,1,0.5,1,0.666666686534882,0.28571429848671,1,1,0.666666686534882,0.600000023841858,1,1,0.5,0,0.666666686534882,0.5,1,1,1,1.33333337306976,1,1,1,1,1,0.5,1,0.666666686534882,0.400000005960464,1.5,1,"0",0.837416470050812,"1",0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5.08964558321168e-06,6.45313999041467e-15,0.0278627928346395,0.97213214635849,"12","CA00105"
"13","13","0","0","0",0.75,0.766666650772095,0.653846144676208,0.909090936183929,0.909090936183929,0.935483872890472,0.756756782531738,0.689655184745789,0.5,0.720930218696594,0.740000009536743,0.666666686534882,0.575757563114166,0.90625,0.764705896377563,0.695652186870575,0.698113203048706,0.705882370471954,0.649999976158142,0.627906978130341,0.739130437374115,0.854545474052429,0.698795199394226,0.52747255563736,0.517647087574005,0.527777791023254,0.536231875419617,0.709999978542328,0.850000023841858,0.653846144676208,0.46000000834465,0.5,0.610000014305115,0.510204076766968,0.711538434028625,0.788461565971375,0.850000023841858,0.738095223903656,"0",0.694900035858154,"2",0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.16270649433136,0.000419376417994499,0.836870074272156,4.07347397413105e-06,"13","CA01005"
"14","14","0","0","0",0.454545438289642,1,0.699999988079071,0.857142865657806,0.875,0.666666686534882,1.33333337306976,1.125,0.75,0.75,1.5,0.333333343267441,0.714285731315613,1,0.5,1.25,0.400000005960464,0.666666686534882,0.833333313465118,0.571428596973419,0.333333343267441,0.875,1,0.666666686534882,0.600000023841858,0.5,0.5,1.16666698455811,1.5,1.33333337306976,0.833329975605011,0.629999995231628,0.888888895511627,1,0,1,1,0.666666686534882,"0",0.809858441352844,"1",0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,9.15366399567574e-06,3.09647793517165e-11,0.589293003082275,0.410697847604752,"14","CA01925"
"15","15","0","0","0",0.800000011920929,0.710526347160339,0.791044771671295,0.75862067937851,0.75,0.816666662693024,0.519999980926514,0.559523820877075,0.676470577716827,0.655737698078156,0.48192772269249,0.653333306312561,0.691176474094391,0.612903237342834,0.67441862821579,0.634920656681061,0.677419364452362,0.645161271095276,0.448275864124298,0.517647087574005,0.560747683048248,0.5,0.596153855323792,0.4921875,0.600000023841858,0.475609749555588,0.442105263471603,0.569999992847443,0.479999989271164,0.439999997615814,0.46000000834465,0.469387769699097,0.373134344816208,0.428571432828903,0.560975611209869,0.571428596973419,0.349999994039536,0.5,"0",0.577528297901154,"3",0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0124959014356136,0.987458348274231,4.57616188214161e-05,4.95434600107165e-16,"15","CA01941"
"16","16","0","0","0",0.707105696201324,0.699839472770691,0.63470321893692,0.717011153697968,0.731218695640564,0.651335299015045,0.609756112098694,0.567081570625305,0.684049069881439,0.642493665218353,0.623145401477814,0.618615210056305,0.622377634048462,0.670716881752014,0.700787425041199,0.718509018421173,0.645083904266357,0.704656839370728,0.706827282905579,0.630385518074036,0.681864261627197,0.682432413101196,0.587488651275635,0.600742816925049,0.589411735534668,0.566901385784149,0.576223790645599,0.579800009727478,0.580789983272552,0.479999989271164,0.400000005960464,0.406462579965591,0.528244256973267,0.570552170276642,0.568750023841858,0.594936728477478,0.567708313465118,0.583333313465118,"0",0.61661422252655,"3",0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0788668319582939,0.900712072849274,0.0204211249947548,7.34387550771487e-11,"16","CA01942"
"17","17","0","0","0",0.72641509771347,0.782608687877655,0.766990303993225,0.675675690174103,0.790123462677002,0.660714268684387,0.76146787405014,0.56521737575531,0.653061211109161,0.60185182094574,0.751879692077637,0.689075648784637,0.863157868385315,0.649999976158142,0.773913025856018,0.670000016689301,0.648854970932007,0.601694941520691,0.587719321250916,0.569230794906616,0.59060400724411,0.533333301544189,0.656804740428925,0.438709676265717,0.567375898361206,NA,0.393617033958435,0.494899988174438,0.643835604190826,0.666666686534882,0.5,0.380952388048172,0.324070006608963,0.129032656550407,0.303448289632797,0.25,0.243478253483772,0.490384608507156,"0",0.57829362154007,"3",0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6.95238632033579e-05,0.999917685985565,1.27783951029414e-05,6.04855705896904e-17,"17","CA00109"
"18","18","0","0","0",0.75,0.571428596973419,0.611111104488373,0.857142865657806,0.720000028610229,0.866666674613953,0.600000023841858,0.777777791023254,0.631578922271729,0.473684221506119,0.681818187236786,0.928571403026581,0.923076927661896,0.545454561710358,0.533333301544189,0.600000023841858,0.807692289352417,0.647058844566345,0.307692319154739,0.639999985694885,0.636363625526428,0.512820482254028,0.5,0.666666686534882,0.60526317358017,0.638888895511627,0.444444447755814,0.509999990463257,0.823529422283173,0.5,0.705882370471954,0.649999976158142,0.761900007724762,0.800000011920929,0.545454561710358,1,0.263157904148102,0.866666674613953,"0",0.655398070812225,"3",0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.83758807182312,0.00915074534714222,0.153261125087738,6.75816380635297e-08,"18","CA03313"
"19","19","0","0","0",0.533333301544189,0.864406764507294,0.753846168518066,0.783783793449402,0.893617033958435,0.775862097740173,0.838235318660736,0.762711882591248,0.774193525314331,0.851063847541809,0.739130437374115,0.777777791023254,0.744186043739319,0.788461565971375,0.866666674613953,0.82051283121109,0.72857141494751,0.887499988079071,0.735294103622437,0.866666674613953,0.883720934391022,0.567164182662964,0.800000011920929,0.764705896377563,0.887096762657166,0.74137932062149,1.06976747512817,0.699999988079071,1.29999995231628,0.850000023841858,0.779999971389771,0.829999983310699,0.735000014305115,0.711538434028625,0.578947365283966,0.840909063816071,0.897959172725677,1.06666672229767,"0",0.810280978679657,"1",0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9.8008183613274e-07,2.13193828910163e-12,0.136139675974846,0.863859355449677,"19","CA03404"
